citing_paper,citing_doi,local_number,full_citation,doi
Reed&DeFilipp_2026,10.1080/10428194.2025.2610407,24,"Loren AW, Mielcarek M, Bola√±os-Meade J, et al. Hematopoietic Cell Transplantation, Version 3.2025, NCCN Clinical Practice Guidelines In Oncology. J Natl Compr Canc Netw. 2025;23(10):e250047. Crossref.",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,27,"Carpenter PA (2023) Chapter 108: late effects after hematopoietic cell transplantation. In: Means TT, Arber DA, Glader BE et al (eds) Wintrobe‚Äôs clinical hematology, 15th edn. Wolters Kluwer, pp 2371‚Äì2386",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,63,"Harper K, McMillen KK (2021) Chapter 15: Medical nutrition therapy for hematopoietic cell transplantation. In: Voss AC, Williams V (eds) Oncology nutrition for clinical practice, 2nd edn. Academy of Nutrition and Dietetics, pp 305‚Äì329",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,77,"Imbruciva (ibrutinib) [package insert] (2024) Sunnyvale, CA: Pharmacyclics",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,82,"Jakafi (ruxolitinib) [package insert] (2021) Wilmington, DE: Incyte Corporation",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,135,"Niktimvo (axatilimab) [package insert] (2024) Wilmington, DE: Incyte Corporation",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,137,"Ordentlich P, Wolfreys A, Da Costa A (2016) Targeting colony stimulating factor- 1 receptor (CSF-1R) with SNDX-6352, a novel anti-CSF-1R targeted antibody. J Immunother Cancer 4:P402",NA
Lee&Carpenter_2025,10.1007/978-3-031-84988-6_6,150,"Rezurock (belumosudil) [package insert] (2024) Paris, France: Sanofi",NA
Din_2025,10.1186/s10020-024-01060-x,11,Araujo AM. IFN-Œ≥ mediated death of metabolically altered Paneth cells. Rochester: University of Rochester; 2020.,NA
Din_2025,10.1186/s10020-024-01060-x,37,Delgado Betancourt E. Comparative analysis of immune responses of intestinal organoids from wild rodents upon infection: challenging the¬†Toxoplasma gondii/house mouse model. Berlin: Humboldt University of Berlin; 2024.,NA
Din_2025,10.1186/s10020-024-01060-x,98,"L√§nger F, Puls F, Buchholz S, Loddenkemper C, Ganser A, Kreipe H. Histopathology of graft-versus-host disease. Pathologe. 2011;32:144‚Äì51. -¬†DOI¬†-¬†PubMed",NA
Weber_2024,10.1159/000538303,25,"Zheng YY, Yang XT, Lin GQ, Bian MR, Si YJ, Zhang XX, et al. [Clinical study of 19 cases of steroid-refractory gastrointestinal acute graft-versus-host disease after allogeneic hematopoietic stem cell transplantation with fecal microbiota transplantation]. Zhonghua Xue Ye Xue Za Zhi. 2023;44(5):401‚Äì7. -¬†PMC¬†-¬†PubMed",NA
Kim_2024,10.1080/13543784.2024.2377322,38,"Resnick IB, Barkats C, Shapira MY, Stepensky P, Bloom AI, Shimoni A, et al. Treatment of severe steroid resistant acute GVHD with mesenchymal stromal cells (MSC). Am J Blood Res. 2013;3(3):225‚Äì38. -¬†PMC¬†-¬†PubMed",NA
Kim_2024,10.1080/13543784.2024.2377322,54,Gabay C Interleukin-6 and chronic inflammation. Arthritis Res Ther. 2006;8 Suppl 2(Suppl 2):S3. -¬†PMC¬†-¬†PubMed,NA
Chang_2021,10.1080/14712598.2021.1872541,107,"Thompson LR, Sanders JG, McDonald D, et al. A communal catalogue reveals Earth‚Äôs multiscale microbial diversity. Nature. 2017November23;551(7681):457‚Äì463. -¬†PMC¬†-¬†PubMed",NA
Hill_2021,10.1146/annurev-immunol-102119-073227,1,"1.Zeiser R, Blazar BR. 2017. Acute graft-versus-host disease‚Äîbiologic process, prevention, and therapy. N. Engl. J. Med 377:2167‚Äì79¬†[DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Hill_2021,10.1146/annurev-immunol-102119-073227,145,"145.Hart JW, Shiue LH, Shpall EJ, Alousi AM. 2013. Extracorporeal photopheresis in the treatment of graft-versus-host disease: evidence and opinion. Ther. Adv. Hematol 4:320‚Äì34¬†[DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Hill_2021,10.1146/annurev-immunol-102119-073227,156,"156.Thangavelu G, Blazar BR. 2019. Achievement of tolerance induction to prevent acute graft-versus-host disease. Front. Immunol 10:309.¬†[DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Hill_2021,10.1146/annurev-immunol-102119-073227,159,"159.Chaudhry MS, Velardi E, Dudakov JA, van den Brink MR. 2016. Thymus: the next (re)generation. Immunol. Rev 271:56‚Äì71¬†[DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Hill_2021,10.1146/annurev-immunol-102119-073227,168,"168.Kean LS, Turka LA, Blazar BR. 2017. Advances in targeting co-inhibitory and co-stimulatory pathways in transplantation settings: the Yin to the Yang of cancer immunotherapy. Immunol. Rev 276:192‚Äì212¬†[DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Gooptu&Koreth_2020,10.3324/haematol.2019.240309,3,"3.Ferrara JLM, Levine JE, Reddy P, Holler E. Graft-versus-host disease. Lancet. 2009;373(9674):1550-1561.¬†[DOI] [PMC free article] [PubMed] [Google Scholar]",NA
Gooptu&Koreth_2020,10.3324/haematol.2019.240309,22,"22.Nash RA, Antin JH, Karanes C, et al. Phase 3 study comparing methotrexate and tacrolimus with methotrexate and cyclosporine for prophylaxis of acute graftversus- host disease after marrow transplantation from unrelated donors. Blood. 2000;96(6):2062-2068.¬†[PubMed] [Google Scholar]",NA
Gooptu&Koreth_2020,10.3324/haematol.2019.240309,23,"23.Ratanatharathorn V, Nash RA, Przepiorka D, et al. Phase III study comparing methotrexate and tacrolimus (prograf, FK506) with methotrexate and cyclosporine for graft-versus- host disease prophylaxis after HLAidentical sibling bone marrow transplantation. Blood. 1998;92(7):2303-2314.¬†[PubMed] [Google Scholar]",NA
Gooptu&Koreth_2020,10.3324/haematol.2019.240309,50,"50.Champlin RE, Passweg JR, Zhang MJ, et al. T-cell depletion of bone marrow transplants for leukemia from donors other than HLAidentical siblings: advantage of T-cell antibodies with narrow specificities. Blood. 2000;95(12):3996-4003.¬†[PubMed] [Google Scholar]",NA
Gooptu&Koreth_2020,10.3324/haematol.2019.240309,82,"82.Watkins B, Qayed M, Bratrude B, et al. T cell costimulation blockade with abatacept nearly eliminates early severe acute graft versus host disease after HLA-mismatched (7/8 HLA matched) unrelated donor transplant, with a favorable impact on disease-free and overall survival. Blood. 2017;130(Suppl 1):212.¬†[Google Scholar]",NA
Noor_2019,10.1159/000492943,33,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004 Apr;47((2)):109‚Äì16. -¬†PMC¬†-¬†PubMed",NA
Zeiser_2019,10.1111/bjh.16190,15,"Cohen, J.L., Trenado, A., Vasey, D., Klatzmann, D. & Salomon, B.L. (2002) Immunoregulatory T cells: new therapeutics for graft-versus-host disease. Journal of Experimental Medicine, 196, 401-406.",NA
Zeiser_2019,10.1111/bjh.16190,38,"Jankovic, D., Ganesan, J., Bscheider, M., Stickel, N., Weber, F., Guarda, G., Follo, M., Pfeifer, D., Tardivel, A., Ludigs, K., Bouazzaoui, A., Kerl, K., Fischer, J., Haas, T., Schmitt-Gr√§ff, A., Manoharan, A., M√ºller, L., Finke, J., Martin, S., Gorka, O., Peschel, C., Ruland, J., Idzko, M., Duyster, J., Holler, E., French, L.E., Poeck, H., Contassot, E. & Zeiser, R. (2013) The Nlrp3-inflammasome regulates acute graft-versus-host disease. Journal of Experimental Medicine, 210, 1899-1910.",NA
Zeiser_2019,10.1111/bjh.16190,45,"Kl√§mbt, V., Wohlfeil, S.A., Schwab, L., H√ºlsd√ºnker, J., Ayata, K., Apostolova, P., Schmitt-Graeff, A., Dierbach, H., Prinz, G., Follo, K., Prinz, M., Idzko, M. & Zeiser, R. (2015) A novel function for P2Y2 in myeloid recipient-derived cells during GvHD. The Journal of Immunology, 195, 5795-5804.",NA
Zeiser_2019,10.1111/bjh.16190,92,"Zeiser, R., Nguyen, V.H., Beilhack, A., Buess, M., Schulz, S., Baker, J., Contag, C.H. & Negrin, R.S. (2006) Inhibition of CD4+CD25+ regulatory T cell function by calcineurin dependent interleukin-2 production. Blood, 108, 390-399.",NA
Koyama&Hill_2019,10.1182/blood.2019000823,112,"Huang W, Chao NJ. Memory T cells: a helpful guard for allogeneic hematopoietic stem cell transplantation without causing graft-versus-host disease. Hematol Oncol Stem Cell Ther. 2017;10(4):211-219. -¬†PubMed",NA
Ferrara_2017,10.1172/JCI90592,2,"Gatti RA, Kersey JH, Yunis EJ, Good RA. Graft-versus-host disease. Prog Clin Pathol. 1973;5:1‚Äì18. -¬†PubMed",NA
Shono_2015,10.1007/s12185-015-1781-5,79,"Hauer-Jensen M, Denham JW, Andreyev HJ. Radiation enteropathy-pathogenesis, treatment and prevention. Nat Rev Gastroenterol Hepatol. 2014 -¬†PMC¬†-¬†PubMed",NA
Wang_2015,10.1186/s12967-015-0640-8,8,Velasquez-Manoff M. Gut microbiome: the peacekeepers. Nature. 2015;518:S3‚ÄìS11. -¬†PubMed,NA
Wang_2015,10.1186/s12967-015-0640-8,27,"Aulagnon F, Scemla A, DeWolf S, Legendre C, Zuber J. Diarrhea after kidney transplantation: a new look at a frequent symptom. Transplantation. 2014;98:806‚Äì816. -¬†PubMed",NA
Wang_2015,10.1186/s12967-015-0640-8,47,"Yu MH, Yu XL, Chen CL, Gao LH, Mao WL, Yan D, Chen Y, Sheng JF, Li LJ, Zheng SS. The change of intestinal microecology in rats after orthotopic liver transplantation. Zhonghua Wai Ke Za Zhi. 2008;46:1139‚Äì1142. -¬†PubMed",NA
Wang_2015,10.1186/s12967-015-0640-8,75,"Bayston K, Baumgartner JD, Clark P, Cohen J. Anti-endotoxin antibody for prevention of acute GVHD. Bone Marrow Transplant. 1991;8:426‚Äì427. -¬†PubMed",NA
Wang_2015,10.1186/s12967-015-0640-8,82,"Lumbreras C, Lizasoain M, Moreno E, Aguado JM, Gomez R, Garcia I, Gonzalez I, Loinaz C, Cisneros C, Noriega AR. Major bacterial infections following liver transplantation: a prospective study. Hepatogastroenterology. 1992;39:362‚Äì365. -¬†PubMed",NA
Bai_2025,10.1016/j.exphem.2025.104833,2,"A.L. Lennard, GH. Jackson Stem cell transplantation BMJ, 321 (2000), pp. 433-437",NA
Bai_2025,10.1016/j.exphem.2025.104833,30,"A. Agita, MT. Alsagaff Inflammation, immunity, and hypertension Acta Med Indones, 49 (2017), pp. 158-165",NA
Bai_2025,10.1016/j.exphem.2025.104833,47,"J.M. Ju, G. Nam, Y.K. Lee, et al. IDO1 scavenges reactive oxygen species in myeloidderived suppressor cells to prevent graftversushost disease Proc Natl Acad Sci U S A, 118 (2021), Article e2011170118",NA
Bai_2025,10.1016/j.exphem.2025.104833,48,"X.N. Cao, Y. Kong, Y. Song, et al. Impairment of bone marrow endothelial progenitor cells in acute graft-versus-host disease patients after allotransplant Br J Haematol, 182 (2018), pp. 870-886",NA
Bai_2025,10.1016/j.exphem.2025.104833,51,"S. Paczesny, O.I. Krijanovski, T.M. Braun, et al. A biomarker panel for acute graftversushost disease Blood, 113 (2009), pp. 273-278",NA
Bai_2025,10.1016/j.exphem.2025.104833,133,"A. Bomzon, S. Holt, K. Moore Bile acids, oxidative stress, and renal function in biliary obstruction Semin Nephrol, 17 (1997), pp. 549-562",NA
Bai_2025,10.1016/j.exphem.2025.104833,154,"J.R. Sheedy, R.E. Wettenhall, D. Scanlon, et al. Increased d-lactic acid intestinal bacteria in patients with chronic fatigue syndrome In Vivo., 23 (2009), pp. 621-628",NA
Bai_2025,10.1016/j.exphem.2025.104833,167,"J. Hellman, P.M. Loiselle, E.M. Zanzot, et al. Release of gram-negative outer-membrane proteins into human serum and septic rat blood and their interactions with immunoglobulin in antiserum to Escherichia coli J5 J Infect Dis, 181 (2000), pp. 1034-1043",NA
Wenger&Zeiser_2024,10.1016/j.beha.2024.101567,39,"P. Apostolova, S. Unger, F. Meiss, D. von Bubnoff, K. Aumann, B. Becher, R. Zeiser Extracorporeal photopheresis for severe immune checkpoint inhibitor-induced autoimmune colitis N Engl J Med, 382 (2020), pp. 294-296",NA
Wenger&Zeiser_2024,10.1016/j.beha.2024.101567,41,"V. Kl√§mbt, S.A. Wohlfeil, L. Schwab, J. H√ºlsd√ºnker, K. Ayata, P. Apostolova, A. Schmitt-Graeff, H. Dierbach, G. Prinz, K. Follo, M. Prinz, M. Idzko, R. Zeiser A novel function for P2Y2 in myeloid recipient-derived cells during GvHD J Immunol, 195 (2015), pp. 5795-5804",NA
Gray&DeFilipp_2023,10.1016/j.jtct.2023.05.007,77,"P Feuerstadt, TJ Louie, B Lashner, et al. SER-109, an oral microbiome therapy for recurrent Clostridioides difficile infection N Engl J Med, 386 (2022), pp. 220-229",NA
Malard_2022,10.1016/s2352-3026(22)00223-x,38,"E van Nood, A Vrieze, M Nieuwdorp, et al. Duodenal infusion of donor feces for recurrent Clostridium difficile N Engl J Med, 368 (2013), pp. 407-415",NA
Thiagarajan_2019,10.1007/s00281-019-00769-w,42,"Panduro M, Benoist C, Mathis D (2016) Tissue Tregs. Annu Rev Immunol 34:609‚Äì633",NA
Thiagarajan_2019,10.1007/s00281-019-00769-w,54,"Imamura M, Hashino S, Kobayashi H, Kubayashi S, Hirano S, Minagawa T, Tanaka J, Fujii Y, Kobayashi M, Kasai M (1994) Serum cytokine levels in bone marrow transplantation: synergistic interaction of interleukin-6, interferon-gamma, and tumor necrosis factor-alpha in graft-versus-host disease. Bone Marrow Transplant 13(6):745‚Äì751",NA
Thiagarajan_2019,10.1007/s00281-019-00769-w,56,"Remberger M, Ringden O, Markling L (1995) TNF alpha levels are increased during bone marrow transplantation conditioning in patients who develop acute GVHD. Bone Marrow Transplant 15(1):99‚Äì104",NA
Shallis_2018,10.1002/ajh.24896,4,"Lloyd-Price J, Abu-Ali G, Huttenhower C. The healthy human microbiome. Genome Med. 2016; 8: 51.",NA
Shallis_2018,10.1002/ajh.24896,32,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004; 47: 109‚Äì116.",NA
Pessach_2017,10.1080/17474086.2017.1288566,44,"Ferrara JL, Levine JE, Reddy P, et al. ‚Äò‚ÄôGraft-versus-host disease‚Äù. Lancet. 2009;373:1550‚Äì1561.",NA
Pessach_2017,10.1080/17474086.2017.1288566,52,"Fegan C, Poynton CH, Whittaker JA. The gut mucosal barrier in bone marrow transplantation. Bone Marrow Transplant. 1990;5:373‚Äì377.",NA
Pessach_2017,10.1080/17474086.2017.1288566,91,"Vossen J, Heidt P, Guiot H, et al. Prevention of acute graft versus host disease in clinical bone marrow transplantation: complete versus selective intestinal decontamination. Recent advances in germ free research. Tokyo: TUP, 2013; 573‚Äì577.",NA
Zeiser_2016,10.1111/bjh.14295,34,"Cohen, J.L., Trenado, A., Vasey, D., Klatzmann, D. & Salomon, B.L. (2002) Immunoregulatory T cells: new therapeutics for graft-versus-host disease. Journal of Experimental Medicine, 196, 401‚Äì406.",NA
Zeiser_2016,10.1111/bjh.14295,71,"Jankovic, D., Ganesan, J., Bscheider, M., Stickel, N., Weber, F., Guarda, G., Follo, M., Pfeifer, D., Tardivel, A., Ludigs, K., Bouazzaoui, A., Kerl, K., Fischer, J., Haas, T., Schmitt-Gr√§ff, A., Manoharan, A., M√ºller, L., Finke, J., Martin, S., Gorka, O., Peschel, C., Ruland, J., Idzko, M., Duyster, J., Holler, E., French, L.E., Poeck, H., Contassot, E. & Zeiser, R. (2013) The Nlrp3-inflammasome regulates acute graft-versus-host disease. Journal of Experimental Medicine, 210, 1899‚Äì1910.",NA
Zeiser_2016,10.1111/bjh.14295,79,"Kl√§mbt, V., Wohlfeil, S.A., Schwab, L., H√ºlsd√ºnker, J., Ayata, K., Apostolova, P., Schmitt-Graeff, A., Dierbach, H., Prinz, G., Follo, K., Prinz, M., Idzko, M. & Zeiser, R. (2015) A novel function for P2Y2 in myeloid recipient-derived cells during GvHD. The Journal of Immunology, 195, 5795‚Äì5804.",NA
Zeiser_2016,10.1111/bjh.14295,112,"Ratanatharathorn, V., Nash, R.A., Przepiorka, D., Devine, S.M., Klein, J.L., Weisdorf, D., Fay, J.W., Nademanee, A., Antin, J.H., Christiansen, N.P., van der Jagt, R., Herzig, R.H., Litzow, M.R., Wolff, S.N., Longo, W.L., Petersen, F.B., Karanes, C., Avalos, B., Storb, R., Buell, D.N., Maher, R.M., Fitzsimmons, W.E. & Wingard, J.R. (1998) Phase III study comparing methotrexate and tacrolimus (prograf, FK506) with methotrexate and cyclosporine for graft-versus-host disease prophylaxis after HLA-identical sibling bone marrow transplantation. Blood, 92, 2303‚Äì2314.",NA
Zeiser_2016,10.1111/bjh.14295,147,"Wall, A.J., Rosenberg, J.L. & Reilly, R.W. (1971) Small intestinal injury in the immunologically runted mouse. Morphologic and autoradiographic studies. The Journal of Laboratory and Clinical Medicine, 78, 833‚Äì834.",NA
Zeiser_2016,10.1111/bjh.14295,157,"Xie, L.N., Zhou, F., Liu, X.M., Fang, Y., Yu, Z., Song, N.X. & Kong, F.S. (2014) Serum microRNA155 is increased in patients with acute graft-versus-host disease. Clinical Transplantation, 28, 314‚Äì323.",NA
Zeiser_2016,10.1111/bjh.14295,162,"Zeiser, R., Nguyen, V.H., Beilhack, A., Buess, M., Schulz, S., Baker, J., Contag, C.H. & Negrin, R.S. (2006) Inhibition of CD4+CD25+ regulatory T cell function by calcineurin dependent interleukin-2 production. Blood, 108, 390‚Äì399.",NA
Teshima_2016,10.1016/j.bbmt.2015.10.001,10,"A.J. Wall, J.L. Rosenberg, R.W. Reilly Small intestinal injury in the immunologically runted mouse. Morphologic and autoradiographic studies J Lab Clin Med, 78 (1971), pp. 833-834",NA
Teshima_2016,10.1016/j.bbmt.2015.10.001,16,"Y. Eriguchi, K. Nakamura, D. Hashimoto, et al. Decreased secretion of Paneth cell alpha-defensin in graft-versus-host disease Transplant Infect Dis, 17 (2015), pp. 702-706",NA
deKoning_2016,10.1182/blood-2016-06-724005,58,Sheean PM. Nutrition support of blood or marrow transplant recipients: how much do we really know?Pract Gastroenterol. 2005;26:84-97.,NA
deKoning_2016,10.1182/blood-2016-06-724005,63,"Worthington ML, Cresci G. Immune-modulating formulas: who wins the meta-analysis race?Nutr Clin Pract. 2011;26(6):650-655.",NA
deKoning_2016,10.1182/blood-2016-06-724005,65,"Prietl B, Pilz S, Wolf M, et al. Vitamin D supplementation and regulatory T cells in apparently healthy subjects: vitamin D treatment for autoimmune diseases?Isr Med Assoc J. 2010;12(3):136-139.",NA
deKoning_2016,10.1182/blood-2016-06-724005,75,Timmons BW. Paediatric exercise immunology: health and clinical applications. Exerc Immunol Rev. 2005;11:108-144.,NA
Sporrer_2015,10.1007/s40778-014-0006-9,27,"Bayston K, Baumgartner JD, Clark P, Cohen J. Anti-endotoxin antibody for prevention of acute GVHD. Bone Marrow Transplant. 1991;8(5):426‚Äì7.",NA
Sporrer_2015,10.1007/s40778-014-0006-9,34,"Bevins CL, Stange EF, Wehkamp J. Decreased Paneth cell defensin expression in ileal Crohn's disease is independent of inflammation, but linked to the NOD2 1007fs genotype. Gut. 2009;58(6):882‚Äì3.",NA
Mathewson&Reddy_2015,10.1007/s40778-014-0002-0,3,"Ferrara JLM, Levine JE, Reddy P, Holler E. Graft-versus-host disease. Lancet. 2009;373:1550‚Äì61.",NA
Mathewson&Reddy_2015,10.1007/s40778-014-0002-0,6,"Ferrara JL, Abhyankar S, Gilliland DG. Cytokine storm of graft- versus-host disease: a critical effector role for interleukin-1. Transplant Proc. 1993;25:1216‚Äì7.",NA
Mathewson&Reddy_2015,10.1007/s40778-014-0002-0,9,"B√§ckhed F, Ley RE, Sonnenburg JL, Peterson DA, Gordon JI. Host- bacterial mutualism in the human intestine. Science. 2005;307: 1915‚Äì20.",NA
Mathewson&Reddy_2015,10.1007/s40778-014-0002-0,65,"Bayston K, Baumgartner JD, Clark P, Cohen J. Anti-endotoxin antibody for prevention of acute GVHD. Bone Marrow Transplant. 1991;8:426‚Äì7.",NA
Hsu_2026,10.1016/j.critrevonc.2026.105229,3,Intestinal Microbiome-based Research for the Prevention of Acute Graft-versus-host Disease. 2023.,NA
Hsu_2026,10.1016/j.critrevonc.2026.105229,26,"Dean L, K.M., Mercaptopurine Therapy and TPMT and NUDT15 Genotype. Medical Genetics Summaries [Internet], 2012.",NA
PinzonLeal_2025,10.3390/immuno5010010,34,"Lampert, I.A.; Moore, R.H.; Huby, R.; Cohen, J. Observations on the role of endotoxin in graft-versus-host disease. Prog. Clin. Biol. Res. 1988, 272, 351‚Äì359.",NA
PinzonLeal_2025,10.3390/immuno5010010,35,"Vriesendorp, H.M.; Heidt, P.J.; Zurcher, C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp. Hematol. 1981, 9, 904‚Äì916.",NA
Limpert_2023,10.3389/fimmu.2023.1192084,79,"Zheng J, Taylor B, Chen X. Role of vitamin a in modulating graft-versus-Host disease. J Immunol Res Ther (2018) 3:124‚Äì8. - PMC - PubMed",NA
Wolfe&Markey_2022,10.3389/fimmu.2022.988121,64,"Umesaki Y, Setoyama H, Matsumoto S, Okada Y. Expansion of alpha beta T-cell receptor-bearing intestinal intraepithelial lymphocytes after microbial colonization in germ-free mice and its independence from thymus. Immunology (1993) 79:32‚Äì7. - PMC - PubMed",NA
Muratore_2022,10.3389/fnut.2022.993668,54,"Yokoyama S, Fujimoto T, Mitomi T, Yabe M, Yabe H, Kato S. Use of total parenteral nutrition in pediatric bone marrow transplantation. Nutrition. (1989) 5:27‚Äì30. - PubMed",NA
Muratore_2022,10.3389/fnut.2022.993668,71,"Harvey RB, Andrews K, Droleskey RE, Kansagra KV, Stoll B, Burrin DG, et al. Qualitative and quantitative comparison of gut bacterial colonization in enterally and parenterally fed neonatal pigs. Curr Issues Intest Microbiol. (2006) 7:61‚Äì4. - PubMed",NA
Khuat_2021,10.1080/19490976.2021.1966262,78,"78.Kolb H, Sale GE, Lerner KG, Storb R, Thomas ED. Pathology of acute graft-versus-host disease in the dog. An autopsy study of ninety-five dogs. Am J Pathol. 1979;96:581‚Äì594. [PMC free article] [PubMed] [Google Scholar]",NA
Hong_2021,10.3389/fimmu.2021.644982,8,"Barton-Burke M, Dwinell DM, Kafkas L, Lavalley C, Sands H, Proctor C, et al. Graft-versus-host disease: a complex long-term side effect of hematopoietic stem cell transplant. Oncol (Williston Park) (2008) 22(11 Suppl Nurse Ed):31‚Äì45. - PubMed",NA
