citing_paper,citing_doi,local_number,full_citation,doi,N,doi_source,full_citation_clean,match_score
Sohouli_2025,10.1016/j.trim.2025.102199,6,"A.R. Chilkulwar, D. Weber, R.R. Jenq, E. Holler, Microbiome and Allogeneic Hematopoietic Stem Cell Transplantation. Immune Biology of Allogeneic Hematopoietic Stem Cell Transplantation, Elsevier, 2019, pp. 141‚Äì154.",10.1016/b978-0-12-812630-1.00009-8,1,crossref,"A.R. Chilkulwar, D. Weber, R.R. Jenq, E. Holler, Microbiome and Allogeneic Hematopoietic Stem Cell Transplantation. Immune Biology of Allogeneic Hematopoietic Stem Cell Transplantation, Elsevier, 2019, pp. 141–154.",99.5
PinzonLeal_2025,10.3390/immuno5010010,34,"Lampert, I.A.; Moore, R.H.; Huby, R.; Cohen, J. Observations on the role of endotoxin in graft-versus-host disease. Prog. Clin. Biol. Res. 1988, 272, 351‚Äì359.",,4,blank,"Lampert, I.A.; Moore, R.H.; Huby, R.; Cohen, J. Observations on the role of endotoxin in graft-versus-host disease. Prog. Clin. Biol. Res. 1988, 272, 351–359.",62.7
PinzonLeal_2025,10.3390/immuno5010010,35,"Vriesendorp, H.M.; Heidt, P.J.; Zurcher, C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp. Hematol. 1981, 9, 904‚Äì916.",,4,blank,"Vriesendorp, H.M.; Heidt, P.J.; Zurcher, C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp. Hematol. 1981, 9, 904–916.",58.5
PinzonLeal_2025,10.3390/immuno5010010,61,"Nesher, L.; Rolston, K.V.I. Febrile Neutropenia in Transplant Recipients. In Principles and Practice of Transplant Infectious Diseases; Safdar, A., Ed.; Springer: New York, NY, USA, 2019; pp. 185‚Äì198.",10.1007/978-1-4939-9034-4_9,4,crossref,"Nesher, L.; Rolston, K.V.I. Febrile Neutropenia in Transplant Recipients. In Principles and Practice of Transplant Infectious Diseases; Safdar, A., Ed.; Springer: New York, NY, USA, 2019; pp. 185–198.",97.7
PinzonLeal_2025,10.3390/immuno5010010,71,"Shannon, C.E. The mathematical theory of communication. 1963. MD Comput. 1997, 14, 306‚Äì317.",10.1145/584091.584093,4,crossref,"Shannon, C.E. The mathematical theory of communication. 1963. MD Comput. 1997, 14, 306–317.",97.1
Limpert_2023,10.3389/fimmu.2023.1192084,79,"Zheng J, Taylor B, Chen X. Role of vitamin a in modulating graft-versus-Host disease. J Immunol Res Ther (2018) 3:124‚Äì8. - PMC - PubMed",,1,blank,"Zheng J, Taylor B, Chen X. Role of vitamin a in modulating graft-versus-Host disease. J Immunol Res Ther (2018) 3:124–8. - PMC - PubMed",80.4
Gail_2023,10.3389/fimmu.2023.1199422,63,"Hakim FM. The immune system: effector and target of graft-versus-host-disease. In: Deeg HJ, Burakoff SJ, editors. Graft-vs.-Host disease. Marcel Dekker, New York: (1997). p. 257‚Äì89.",,1,no_doi_expected,"Hakim FM. The immune system: effector and target of graft-versus-host-disease. In: Deeg HJ, Burakoff SJ, editors. Graft-vs.-Host disease. Marcel Dekker, New York: (1997). p. 257–89.",78.3
Wolfe&Markey_2022,10.3389/fimmu.2022.988121,64,"Umesaki Y, Setoyama H, Matsumoto S, Okada Y. Expansion of alpha beta T-cell receptor-bearing intestinal intraepithelial lymphocytes after microbial colonization in germ-free mice and its independence from thymus. Immunology (1993) 79:32‚Äì7. - PMC - PubMed",,1,blank,"Umesaki Y, Setoyama H, Matsumoto S, Okada Y. Expansion of alpha beta T-cell receptor-bearing intestinal intraepithelial lymphocytes after microbial colonization in germ-free mice and its independence from thymus. Immunology (1993) 79:32–7. - PMC - PubMed",86.6
Muratore_2022,10.3389/fnut.2022.993668,1,"Carreras E, Dufour C, Mohty M, Kr√∂ger N. The EBMT Handbook?: Hematopoietic Stem Cell Transplantation and Cellular Therapies. Cham: Springer International Publishing; (2019). - PubMed",,4,no_doi_expected,"Carreras E, Dufour C, Mohty M, Kröger N. The EBMT Handbook?: Hematopoietic Stem Cell Transplantation and Cellular Therapies. Cham: Springer International Publishing; (2019). - PubMed",70.0
Muratore_2022,10.3389/fnut.2022.993668,34,"Fabozzi F, Trovato CM, Diamanti A, Mastronuzzi A, Zecca M, Tripodi SI, et al. Management of nutritional needs in pediatric oncology?: a consensus statement. Cancers. (2022) 14:3378. - PMC - PubMed",10.3390/cancers14143378,4,crossref,"Fabozzi F, Trovato CM, Diamanti A, Mastronuzzi A, Zecca M, Tripodi SI, et al. Management of nutritional needs in pediatric oncology?: a consensus statement. Cancers. (2022) 14:3378. - PMC - PubMed",100.0
Muratore_2022,10.3389/fnut.2022.993668,54,"Yokoyama S, Fujimoto T, Mitomi T, Yabe M, Yabe H, Kato S. Use of total parenteral nutrition in pediatric bone marrow transplantation. Nutrition. (1989) 5:27‚Äì30. - PubMed",,4,blank,"Yokoyama S, Fujimoto T, Mitomi T, Yabe M, Yabe H, Kato S. Use of total parenteral nutrition in pediatric bone marrow transplantation. Nutrition. (1989) 5:27–30. - PubMed",64.6
Muratore_2022,10.3389/fnut.2022.993668,71,"Harvey RB, Andrews K, Droleskey RE, Kansagra KV, Stoll B, Burrin DG, et al. Qualitative and quantitative comparison of gut bacterial colonization in enterally and parenterally fed neonatal pigs. Curr Issues Intest Microbiol. (2006) 7:61‚Äì4. - PubMed",,4,blank,"Harvey RB, Andrews K, Droleskey RE, Kansagra KV, Stoll B, Burrin DG, et al. Qualitative and quantitative comparison of gut bacterial colonization in enterally and parenterally fed neonatal pigs. Curr Issues Intest Microbiol. (2006) 7:61–4. - PubMed",65.5
Thomas_2022,10.6004/jadpro.2022.13.1.5,14,"Sahdev, I., & Abdel-Azim, H. (2016). Lanzkowsky's manual of pediatric hematology and oncology (6th ed.) (pp 577‚Äì604). Academic Press. [Google Scholar]",,1,no_doi_expected,"Sahdev, I., & Abdel-Azim, H. (2016). Lanzkowsky's manual of pediatric hematology and oncology (6th ed.) (pp 577–604). Academic Press. [Google Scholar]",35.9
Khuat_2021,10.1080/19490976.2021.1966262,7,7.Akiyama H. [Infectious complications following hematopoietic stem cell transplantation]. [Rinsho Ketsueki] Jpn J Clin Hematol. 2008;49:576‚Äì582. [PubMed] [Google Scholar],10.1002/9781444303537.ch98,4,crossref,7.Akiyama H. [Infectious complications following hematopoietic stem cell transplantation]. [Rinsho Ketsueki] Jpn J Clin Hematol. 2008;49:576–582. [PubMed] [Google Scholar],92.9
Khuat_2021,10.1080/19490976.2021.1966262,78,"78.Kolb H, Sale GE, Lerner KG, Storb R, Thomas ED. Pathology of acute graft-versus-host disease in the dog. An autopsy study of ninety-five dogs. Am J Pathol. 1979;96:581‚Äì594. [PMC free article] [PubMed] [Google Scholar]",,4,blank,"78.Kolb H, Sale GE, Lerner KG, Storb R, Thomas ED. Pathology of acute graft-versus-host disease in the dog. An autopsy study of ninety-five dogs. Am J Pathol. 1979;96:581–594. [PMC free article] [PubMed] [Google Scholar]",60.1
Khuat_2021,10.1080/19490976.2021.1966262,92,"92.Van Bekkum DW, Knaan S. Role of bacterial microflora in development of intestinal lesions from graft-versus-host reaction. J Natl Cancer Inst. 1977;58:787‚Äì790. [DOI] [PubMed] [Google Scholar]",10.1093/jnci/58.3.787,4,crossref,"92.Van Bekkum DW, Knaan S. Role of bacterial microflora in development of intestinal lesions from graft-versus-host reaction. J Natl Cancer Inst. 1977;58:787–790. [DOI] [PubMed] [Google Scholar]",100.0
Khuat_2021,10.1080/19490976.2021.1966262,93,"93.Jones JM, Wilson R, Bealmear PM. Mortality and gross pathology of secondary disease in germfree mouse radiation chimeras. Radiat Res. 1971;45:577‚Äì588. [PubMed] [Google Scholar]",10.2307/3573066,4,crossref,"93.Jones JM, Wilson R, Bealmear PM. Mortality and gross pathology of secondary disease in germfree mouse radiation chimeras. Radiat Res. 1971;45:577–588. [PubMed] [Google Scholar]",100.0
Hong_2021,10.3389/fimmu.2021.644982,8,"Barton-Burke M, Dwinell DM, Kafkas L, Lavalley C, Sands H, Proctor C, et al. Graft-versus-host disease: a complex long-term side effect of hematopoietic stem cell transplant. Oncol (Williston Park) (2008) 22(11 Suppl Nurse Ed):31‚Äì45. - PubMed",,6,blank,"Barton-Burke M, Dwinell DM, Kafkas L, Lavalley C, Sands H, Proctor C, et al. Graft-versus-host disease: a complex long-term side effect of hematopoietic stem cell transplant. Oncol (Williston Park) (2008) 22(11 Suppl Nurse Ed):31–45. - PubMed",77.8
Hong_2021,10.3389/fimmu.2021.644982,43,"Wall AJ, Rosenberg JL, Reilly RW. Small intestinal injury in the immunologically runted mouse. Morphologic and autoradiographic studies. J Lab Clin Med (1971) 78(5):833‚Äì4. - PubMed",,6,blank,"Wall AJ, Rosenberg JL, Reilly RW. Small intestinal injury in the immunologically runted mouse. Morphologic and autoradiographic studies. J Lab Clin Med (1971) 78(5):833–4. - PubMed",66.7
Hong_2021,10.3389/fimmu.2021.644982,89,"Heidt PJ, Vossen JM. Experimental and clinical gnotobiotics: influence of the microflora on graft-versus-host disease after allogeneic bone marrow transplantation. J Med (1992) 23(3-4):161‚Äì73. - PubMed",10.1007/978-1-4471-1796-4_5,6,crossref,"Heidt PJ, Vossen JM. Experimental and clinical gnotobiotics: influence of the microflora on graft-versus-host disease after allogeneic bone marrow transplantation. J Med (1992) 23(3-4):161–73. - PubMed",91.7
Hong_2021,10.3389/fimmu.2021.644982,90,"Bauer H, Horowitz RE, Levenson SM, Popper H. The response of the lymphatic tissue to the microbial flora. Studies on germfree mice. Am J Pathol (1963) 42:471‚Äì83. - PMC - PubMed",,6,blank,"Bauer H, Horowitz RE, Levenson SM, Popper H. The response of the lymphatic tissue to the microbial flora. Studies on germfree mice. Am J Pathol (1963) 42:471–83. - PMC - PubMed",77.4
Hong_2021,10.3389/fimmu.2021.644982,96,"Lampert IA, Moore RH, Huby R, Cohen J. Observations on the role of endotoxin in graft-versus-host disease. Prog Clin Biol Res (1988) 272:351‚Äì9. - PubMed",,6,blank,"Lampert IA, Moore RH, Huby R, Cohen J. Observations on the role of endotoxin in graft-versus-host disease. Prog Clin Biol Res (1988) 272:351–9. - PubMed",81.9
Hong_2021,10.3389/fimmu.2021.644982,97,"Vriesendorp HM, Heidt PJ, Zurcher C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp Hematol (1981) 9(9):904‚Äì16. - PubMed",,6,blank,"Vriesendorp HM, Heidt PJ, Zurcher C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp Hematol (1981) 9(9):904–16. - PubMed",72.7
Crossland_2020,10.3389/fimmu.2020.602547,69,"National Research Council (US) Committee on Assessing the Importance and Impact of Glycomics and Glycosciences Transforming Glycoscience: A Roadmap for the Future (2012). Washington (DC: National Academies Press (US; Available at: http://www.ncbi.nlm.nih.gov/books/NBK109958/ (Accessed July 8, 2020). - PubMed",10.2172/1062390,3,crossref,"National Research Council (US) Committee on Assessing the Importance and Impact of Glycomics and Glycosciences Transforming Glycoscience: A Roadmap for the Future (2012). Washington (DC: National Academies Press (US; Available at: http://www.ncbi.nlm.nih.gov/books/NBK109958/ (Accessed July 8, 2020). - PubMed",99.2
Crossland_2020,10.3389/fimmu.2020.602547,79,"Prenc E. N-glycosylation of immunoglobulin G in chronic graft-versus-host disease. PhD thesis (2019). Available at: http://medlib.mef.hr/3450/ (Accessed July 8, 2020).",,3,no_doi_expected,"Prenc E. N-glycosylation of immunoglobulin G in chronic graft-versus-host disease. PhD thesis (2019). Available at: http://medlib.mef.hr/3450/ (Accessed July 8, 2020).",57.6
Crossland_2020,10.3389/fimmu.2020.602547,81,"Ardekani AM, Naeini MM. The Role of MicroRNAs in Human Diseases. Avicenna J Med Biotechnol (2010) 2:161‚Äì79. - PMC - PubMed",10.21236/ada540731,3,crossref,"Ardekani AM, Naeini MM. The Role of MicroRNAs in Human Diseases. Avicenna J Med Biotechnol (2010) 2:161–79. - PMC - PubMed",91.7
Kohler_2019,10.3389/fimmu.2018.03179,1,"D'Souza, Fretham C. Current Uses and Outcomes of Hematopoietic Cell Transplantation (HCT): CIBMTR Summary Slides (2017). Available online at: http://www.cibmtr.org",,2,no_doi_expected,"D'Souza, Fretham C. Current Uses and Outcomes of Hematopoietic Cell Transplantation (HCT): CIBMTR Summary Slides (2017). Available online at: http://www.cibmtr.org",62.3
Kohler_2019,10.3389/fimmu.2018.03179,26,"Chiusolo P, Metafuni E, Paroni Sterbini F, Giammarco S, Masucci L, Leone G, et al. Gut microbiome changes after stem cell transplantation. Blood (2015) 126:1953.",10.1182/blood.v126.23.1953.1953,2,crossref,"Chiusolo P, Metafuni E, Paroni Sterbini F, Giammarco S, Masucci L, Leone G, et al. Gut microbiome changes after stem cell transplantation. Blood (2015) 126:1953.",100.0
Raghunathan_2016,10.1186/s12967-016-1094-3,25,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004;47:109‚Äì116. - PMC - PubMed",,1,blank,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004;47:109–116. - PMC - PubMed",76.3
Chen_2015,10.1155/2015/145859,16,"16.Pasquini M. C., Wang Z., Horowitz M. M., Gale R. P. 2010 report from the Center for International Blood and Marrow Transplant Research (CIBMTR): current uses and outcomes of hematopoietic cell transplants for blood and bone marrow disorders. Clinical Transplantation. 2010:87‚Äì105. [PubMed] [Google Scholar]",,4,no_doi_expected,"16.Pasquini M. C., Wang Z., Horowitz M. M., Gale R. P. 2010 report from the Center for International Blood and Marrow Transplant Research (CIBMTR): current uses and outcomes of hematopoietic cell transplants for blood and bone marrow disorders. Clinical Transplantation. 2010:87–105. [PubMed] [Google Scholar]",84.7
Chen_2015,10.1155/2015/145859,36,36.Billingham R. E. The biology of graft-versus-host reactions. Harvey Lectures. 1966;62:21‚Äì78. [PubMed] [Google Scholar],,4,blank,36.Billingham R. E. The biology of graft-versus-host reactions. Harvey Lectures. 1966;62:21–78. [PubMed] [Google Scholar],51.5
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,1,"Jandhyala SM, Talukdar R, Subramanyam C, Vuyyuru H, Sasikala M, Nageshwar Reddy D. Role of the normal gut microbiota. World J Gastroenterol. 2015; 21:8787‚Äì803.",10.3748/wjg.v21.i29.8787,5,crossref,"Jandhyala SM, Talukdar R, Subramanyam C, Vuyyuru H, Sasikala M, Nageshwar Reddy D. Role of the normal gut microbiota. World J Gastroenterol. 2015; 21:8787–803.",100.0
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,4,"van Bekkum DW, Roodenburg J, Heidt PJ, van der Waaij D. Mitigation of secondary disease of allogeneic mouse radiation chimeras by modification of the intestinal microflora. J Natl Cancer Inst. 1974; 52:401‚Äì4.",10.1093/jnci/52.2.401,5,crossref,"van Bekkum DW, Roodenburg J, Heidt PJ, van der Waaij D. Mitigation of secondary disease of allogeneic mouse radiation chimeras by modification of the intestinal microflora. J Natl Cancer Inst. 1974; 52:401–4.",100.0
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,14,"Mathewson ND, Jenq R, Mathew AV, Koenigsknecht M, Hanash A, Toubai T, et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat Immunol. 2016; 17:505‚Äì13.",10.1038/ni.3400,5,crossref,"Mathewson ND, Jenq R, Mathew AV, Koenigsknecht M, Hanash A, Toubai T, et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat Immunol. 2016; 17:505–13.",100.0
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,20,"Hendrickx AP, van Wamel WJ, Posthuma G, Bonten MJ, Willems RJ. Five genes encoding surface-exposed LPXTG proteins are enriched in hospital-adapted Enterococcus faecium clonal complex 17 isolates. J Bacteriol. 2007; 189:8321‚Äì32.",10.1128/jb.00664-07,5,crossref,"Hendrickx AP, van Wamel WJ, Posthuma G, Bonten MJ, Willems RJ. Five genes encoding surface-exposed LPXTG proteins are enriched in hospital-adapted Enterococcus faecium clonal complex 17 isolates. J Bacteriol. 2007; 189:8321–32.",100.0
Kim&YuHee_2016,10.4167/jbv.2016.46.4.307,24,"Kinnebrew MA, Ubeda C, Zenewicz LA, Smith N, Flavell RA, Pamer EG. Bacterial flagellin stimulates Toll-like receptor 5-dependent defense against vancomycin-resistant Enterococcus infection. J Infect Dis. 2010; 201:534‚Äì43.",10.1086/650203,5,crossref,"Kinnebrew MA, Ubeda C, Zenewicz LA, Smith N, Flavell RA, Pamer EG. Bacterial flagellin stimulates Toll-like receptor 5-dependent defense against vancomycin-resistant Enterococcus infection. J Infect Dis. 2010; 201:534–43.",100.0
Moses&Yeh_2026,10.1080/19490976.2026.2631224,29,"Abrams GD, Bauer H, Sprinz H. Influence of the normal flora on mucosal morphology and cellular renewal in the ileum. A comparison of germ-free and conventional mice. Lab Investig. 1963;12:355‚Äì364. -¬†PubMed",,1,blank,"Abrams GD, Bauer H, Sprinz H. Influence of the normal flora on mucosal morphology and cellular renewal in the ileum. A comparison of germ-free and conventional mice. Lab Investig. 1963;12:355–364. - PubMed",56.7
Zhou&Fang_2026,10.3389/fimmu.2025.1605669,21,"Liu W, Shen SM, Zhao XY, Chen GQ. Targeted genes and interacting proteins of hypoxia inducible factor-1. Int J Biochem Mol Biol. (2012) 3:165‚Äì78. -¬†PMC¬†-¬†PubMed",,1,blank,"Liu W, Shen SM, Zhao XY, Chen GQ. Targeted genes and interacting proteins of hypoxia inducible factor-1. Int J Biochem Mol Biol. (2012) 3:165–78. - PMC - PubMed",74.4
Biscaglia_2025,10.3390/nu17233788,65,"65.Zhao Y., Wang Y., Wang Y., Wu D. Fecal microbiota transplantation for graft-versus-host disease: A systematic review and meta-analysis. J. Transl. Med. 2022;20:587.¬†[Google Scholar]",,1,blank,"65.Zhao Y., Wang Y., Wang Y., Wu D. Fecal microbiota transplantation for graft-versus-host disease: A systematic review and meta-analysis. J. Transl. Med. 2022;20:587. [Google Scholar]",82.9
Olivieri&Mancini_2024,10.3390/cells13181524,53,"Nash R.A., Antin J.H., Karanes C., Fay J.W., Avalos B.R., Yeager A.M., Przepiorka D., Davies S., Petersen F.B., Bartels P., et al. Phase 3 study comparing methotrexate and tacrolimus with methotrexate and cyclosporine for prophylaxis of acute graft-versus-host disease after marrow transplantation from unrelated donors. Blood. 2000;96:2062‚Äì2068. -¬†PubMed",10.1016/j.bbmt.2007.12.396,5,crossref,"Nash R.A., Antin J.H., Karanes C., Fay J.W., Avalos B.R., Yeager A.M., Przepiorka D., Davies S., Petersen F.B., Bartels P., et al. Phase 3 study comparing methotrexate and tacrolimus with methotrexate and cyclosporine for prophylaxis of acute graft-versus-host disease after marrow transplantation from unrelated donors. Blood. 2000;96:2062–2068. - PubMed",89.2
Olivieri&Mancini_2024,10.3390/cells13181524,54,"Ratanatharathorn V., Nash R.A., Przepiorka D., Devine S.M., Klein J.L., Weisdorf D., Fay J.W., Nademanee A., Antin J.H., Christiansen N.P., et al. Phase III study comparing methotrexate and tacrolimus (prograf, FK506) with methotrexate and cyclosporine for graft-versus-host disease prophylaxis after HLA-identical sibling bone marrow transplantation. Blood. 1998;92:2303‚Äì2314. -¬†PubMed",,5,blank,"Ratanatharathorn V., Nash R.A., Przepiorka D., Devine S.M., Klein J.L., Weisdorf D., Fay J.W., Nademanee A., Antin J.H., Christiansen N.P., et al. Phase III study comparing methotrexate and tacrolimus (prograf, FK506) with methotrexate and cyclosporine for graft-versus-host disease prophylaxis after HLA-identical sibling bone marrow transplantation. Blood. 1998;92:2303–2314. - PubMed",76.2
Olivieri&Mancini_2024,10.3390/cells13181524,95,"Chen Y.-B., Mohty M., Zeiser R., Teshima T., Takanami Y., Rossiter G., Jansson J., Fl√∏isand Y. Vedolizumab for Prophylaxis of Lower Gastrointestinal (GI) Acute Graft-versus-Host Disease (aGVHD) After Allogeneic Hematopoietic Stem Cell Transplantation (allo-HSCT) From Unrelated Donors: Results of a Phase 3 Randomized, Double-Blind, Placebo-Controlled Multicenter Study (GRAPHITE) Clin. Adv. Hematol. Oncol. 2023;21:12‚Äì13.",,5,blank,"Chen Y.-B., Mohty M., Zeiser R., Teshima T., Takanami Y., Rossiter G., Jansson J., Fløisand Y. Vedolizumab for Prophylaxis of Lower Gastrointestinal (GI) Acute Graft-versus-Host Disease (aGVHD) After Allogeneic Hematopoietic Stem Cell Transplantation (allo-HSCT) From Unrelated Donors: Results of a Phase 3 Randomized, Double-Blind, Placebo-Controlled Multicenter Study (GRAPHITE) Clin. Adv. Hematol. Oncol. 2023;21:12–13.",84.2
Olivieri&Mancini_2024,10.3390/cells13181524,101,"Przepiorka D., Weisdorf D., Martin P., Klingemann H.G., Beatty P., Hows J., Thomas E.D. 1994 Consensus Conference on Acute GVHD Grading. Bone Marrow Transplant. 1995;15:825‚Äì828. -¬†PubMed",,5,blank,"Przepiorka D., Weisdorf D., Martin P., Klingemann H.G., Beatty P., Hows J., Thomas E.D. 1994 Consensus Conference on Acute GVHD Grading. Bone Marrow Transplant. 1995;15:825–828. - PubMed",57.1
Olivieri&Mancini_2024,10.3390/cells13181524,202,FDA Approves Abatacept for Prophylaxis of Acute Graft versus Host Disease. [(accessed on 15 December 2021)]; Available online:¬†https://www.fda.gov/drugs/resources-information-approved-drugs/fda-appro....,,5,no_doi_expected,FDA Approves Abatacept for Prophylaxis of Acute Graft versus Host Disease. [(accessed on 15 December 2021)]; Available online: https://www.fda.gov/drugs/resources-information-approved-drugs/fda-appro....,72.3
Biennier_2024,10.3390/microorganisms12112256,48,"48.Beliz√°rio J.E., Faintuch J. Metabolic Interaction in Infection. Volume 109. Springer; Cham, Switzerland: 2018. Microbiome and Gut Dysbiosis; pp. 459‚Äì476.¬†[DOI] [PubMed] [Google Scholar]",,2,no_doi_expected,"48.Belizário J.E., Faintuch J. Metabolic Interaction in Infection. Volume 109. Springer; Cham, Switzerland: 2018. Microbiome and Gut Dysbiosis; pp. 459–476. [DOI] [PubMed] [Google Scholar]",84.3
Biennier_2024,10.3390/microorganisms12112256,100,"100.Ham B., Fernandez M.C., D‚ÄôCosta Z., Brodt P. The diverse roles of the TNF axis in cancer progression and metastasis. Trends Cancer Res. 2016;11:1‚Äì27.¬†[PMC free article] [PubMed] [Google Scholar]",,2,blank,"100.Ham B., Fernandez M.C., D'Costa Z., Brodt P. The diverse roles of the TNF axis in cancer progression and metastasis. Trends Cancer Res. 2016;11:1–27. [PMC free article] [PubMed] [Google Scholar]",77.8
