Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR28352963,AMPLICON,598,155755913,PRJNA1088414,SAMN40468680,Metagenome or environmental,112303400,FISABIO,2016,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958161,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,74_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,74_post_16S,patient_74_post_transplant,SRP495415
SRR28352964,AMPLICON,596,106771774,PRJNA1088414,SAMN40468679,Metagenome or environmental,64469798,FISABIO,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958160,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,73_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,73_pre_16S,patient_73_pre_transplant,SRP495415
SRR28352965,AMPLICON,598,34422886,PRJNA1088414,SAMN40468678,Metagenome or environmental,21272963,FISABIO,2016,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23958159,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,72_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,72_pre_16S,patient_72_pre_transplant,SRP495415
SRR28352966,AMPLICON,598,147412866,PRJNA1088414,SAMN40468570,Metagenome or environmental,109331752,FISABIO,2016,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23958158,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,11_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,11_pre_16S,patient_11_pre_transplant,SRP495415
SRR28352967,AMPLICON,598,49983233,PRJNA1088414,SAMN40468677,Metagenome or environmental,31220429,FISABIO,2016,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958157,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,72_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,72_post_16S,patient_72_post_transplant,SRP495415
SRR28352968,AMPLICON,598,92110254,PRJNA1088414,SAMN40468676,Metagenome or environmental,58065185,FISABIO,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958156,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,71_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,71_pre_16S,patient_71_pre_transplant,SRP495415
SRR28352969,AMPLICON,598,122269458,PRJNA1088414,SAMN40468675,Metagenome or environmental,85364247,FISABIO,2016,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23958155,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,71_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,71_post_16S,patient_71_post_transplant,SRP495415
SRR28352970,AMPLICON,598,93515798,PRJNA1088414,SAMN40468674,Metagenome or environmental,59884089,FISABIO,2016,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958154,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,70_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,70_pre_16S,patient_70_pre_transplant,SRP495415
SRR28352971,AMPLICON,599,60016350,PRJNA1088414,SAMN40468673,Metagenome or environmental,41396996,FISABIO,2016,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23958153,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,70_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,70_post_16S,patient_70_post_transplant,SRP495415
SRR28352972,AMPLICON,597,129592892,PRJNA1088414,SAMN40468672,Metagenome or environmental,96821575,FISABIO,2016,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958152,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,7_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,7_pre_16S,patient_7_pre_transplant,SRP495415
SRR28352973,AMPLICON,596,92880078,PRJNA1088414,SAMN40468671,Metagenome or environmental,69179463,FISABIO,2016,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23958151,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,7_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,7_post_16S,patient_7_post_transplant,SRP495415
SRR28352974,AMPLICON,598,55810658,PRJNA1088414,SAMN40468670,Metagenome or environmental,35168863,FISABIO,2016,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958150,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,69_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,69_pre_16S,patient_69_pre_transplant,SRP495415
SRR28352975,AMPLICON,598,92412835,PRJNA1088414,SAMN40468669,Metagenome or environmental,64381751,FISABIO,2016,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23958149,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,69_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,69_post_16S,patient_69_post_transplant,SRP495415
SRR28352976,AMPLICON,597,64990761,PRJNA1088414,SAMN40468668,Metagenome or environmental,41184426,FISABIO,2016,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958148,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,68_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,68_pre_16S,patient_68_pre_transplant,SRP495415
SRR28352977,AMPLICON,598,71855019,PRJNA1088414,SAMN40468569,Metagenome or environmental,39580317,FISABIO,2016,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958147,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,11_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,11_post_16S,patient_11_post_transplant,SRP495415
SRR28352978,AMPLICON,596,134196875,PRJNA1088414,SAMN40468667,Metagenome or environmental,94020744,FISABIO,2016,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23958146,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,68_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,68_post_16S,patient_68_post_transplant,SRP495415
SRR28352979,AMPLICON,598,37547395,PRJNA1088414,SAMN40468666,Metagenome or environmental,23867864,FISABIO,2016,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23958145,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,67_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,67_pre_16S,patient_67_pre_transplant,SRP495415
SRR28352980,AMPLICON,599,128289305,PRJNA1088414,SAMN40468665,Metagenome or environmental,89843976,FISABIO,2016,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958144,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,67_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,67_post_16S,patient_67_post_transplant,SRP495415
SRR28352981,AMPLICON,597,58613251,PRJNA1088414,SAMN40468664,Metagenome or environmental,36112388,FISABIO,2016,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958143,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,66_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,66_pre_16S,patient_66_pre_transplant,SRP495415
SRR28352982,AMPLICON,596,92344405,PRJNA1088414,SAMN40468663,Metagenome or environmental,70082932,FISABIO,2016,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958142,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,66_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,66_post_16S,patient_66_post_transplant,SRP495415
SRR28352983,AMPLICON,598,49659092,PRJNA1088414,SAMN40468662,Metagenome or environmental,32614164,FISABIO,2016,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23958141,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,65_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,65_pre_16S,patient_65_pre_transplant,SRP495415
SRR28352984,AMPLICON,598,117596739,PRJNA1088414,SAMN40468661,Metagenome or environmental,84368701,FISABIO,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958140,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,65_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,65_post_16S,patient_65_post_transplant,SRP495415
SRR28352985,AMPLICON,598,87160270,PRJNA1088414,SAMN40468660,Metagenome or environmental,55060937,FISABIO,2016,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958139,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,64_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,64_pre_16S,patient_64_pre_transplant,SRP495415
SRR28352986,AMPLICON,597,59511427,PRJNA1088414,SAMN40468659,Metagenome or environmental,42117359,FISABIO,2016,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23958138,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,64_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,64_post_16S,patient_64_post_transplant,SRP495415
SRR28352987,AMPLICON,598,105596129,PRJNA1088414,SAMN40468658,Metagenome or environmental,74803399,FISABIO,2016,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958137,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,63_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,63_pre_16S,patient_63_pre_transplant,SRP495415
SRR28352988,AMPLICON,598,90387538,PRJNA1088414,SAMN40468568,Metagenome or environmental,58478824,FISABIO,2016,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958136,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,105_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:20:00Z,1,105_pre_16S,patient_105_pre_transplant,SRP495415
SRR28352989,AMPLICON,597,82099805,PRJNA1088414,SAMN40468559,Metagenome or environmental,62445662,FISABIO,2016,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23958135,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,1_pre_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,1_pre_16S,patient_1_pre_transplant,SRP495415
SRR28352990,AMPLICON,598,71564284,PRJNA1088414,SAMN40468558,Metagenome or environmental,55016599,FISABIO,2016,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23958134,Spain,Europe,Spain: Valencia,Homo sapiens,Illumina MiSeq,feces,39.46 N 0.46 W,1_post_16S,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2024-03-15T00:00:00Z,2024-03-15T09:21:00Z,1,1_post_16S,patient_1_post_transplant,SRP495415
