"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV705","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter",NA
"ASV712","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Intestinimonas",NA
"ASV721","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Dysosmobacter",NA
"ASV734","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Vescimonas",NA
"ASV737","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Hominicoprocola",NA
"ASV749","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Faecousia",NA
"ASV777","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Fimenecus",NA
"ASV792","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Ruminococcus_E",NA
"ASV801","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Clostridium_A_51961",NA
"ASV805","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Acutalibacter",NA
"ASV815","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Hydrogeniiclostridium",NA
"ASV828","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Anaeromassilibacillus",NA
"ASV834","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","UMGS1071",NA
"ASV842","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Solibaculum",NA
"ASV845","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","UBA5905",NA
"ASV863","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV867","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Gemmiger_A_73129",NA
"ASV888","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Ruthenibacterium",NA
"ASV898","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Bittarella",NA
"ASV909","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Ruminiclostridium_E",NA
"ASV916","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Hominimerdicola",NA
"ASV935","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Massiliimalia",NA
"ASV946","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Merdimmobilis",NA
"ASV965","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Anaerotruncus",NA
"ASV980","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Negativibacillus",NA
"ASV1131","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Hungatella_A_128155",NA
"ASV1158","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster",NA
"ASV1192","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Ventrisoma",NA
"ASV1199","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Otoolea_134252",NA
"ASV1271","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781",NA
"ASV1286","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141780",NA
"ASV1307","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Laedolimicola",NA
"ASV1314","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Merdimonas",NA
"ASV1326","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Dorea_A",NA
"ASV1334","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B",NA
"ASV1338","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Bariatricus",NA
"ASV1343","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Sellimonas",NA
"ASV1356","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Schaedlerella",NA
"ASV1360","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Ruminococcus_B",NA
"ASV1375","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Mediterraneibacter_A_155507",NA
"ASV1389","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Faecalimonas",NA
"ASV1415","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Roseburia_A_166204",NA
"ASV1428","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Roseburia_C",NA
"ASV1460","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Acetatifactor",NA
"ASV1475","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Fusicatenibacter",NA
"ASV1476","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Eisenbergiella",NA
"ASV1491","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Lachnospira",NA
"ASV1546","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerobutyricum",NA
"ASV1559","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerostipes",NA
"ASV1577","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Anaerotignaceae","Anaerotignum_189125",NA
"ASV1590","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Dialisteraceae","Dialister_37762",NA
"ASV1610","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella_A",NA
"ASV1621","Bacteria","Bacillota_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus",NA
"ASV1630","Bacteria","Bacillota_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium_A_40086",NA
"ASV1665","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Rothia",NA
"ASV1679","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Pauljensenia",NA
"ASV1691","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium_388775",NA
"ASV1716","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella",NA
"ASV1731","Archaea","Methanobacteriota_A_1229","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A",NA
