"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","Original_Name"
"ASV290","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_A_595421","Comamonas_F_589250",NA,"GB-GCA-002905915.1-MLEP01000147.1"
"ASV336","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Pasteurellaceae",NA,NA,"RS-GCF-001810545.1-NZ-KV801801.1"
"ASV373","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales",NA,NA,NA,"GB-GCA-900539315.1-UQBL01000026.1"
"ASV406","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Lacticaseibacillus",NA,"RS-GCF-009679795.1-NZ-WKPZ01000065.1"
"ASV408","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"GB-GCA-000155935.2-GL531761.1"
"ASV422","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae",NA,NA,"RS-GCF-001455265.1-NZ-LKPE01000028.1"
"ASV423","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans","RS-GCF-002157665.1-NZ-BDOS01000001.1"
"ASV425","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus",NA,"GB-GCA-900767615.1-CAAFZU010000193.1"
"ASV427","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus",NA,"MJ006-1-barcode39-umi126066bins-ubs-3"
"ASV435","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus",NA,"RS-GCF-018619375.1-NZ-JAHHFT010000043.1"
"ASV443","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus",NA,"RS-GCF-003942595.1-NZ-RJNL01000019.1"
"ASV463","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Enterococcaceae",NA,NA,"RS-GCF-902160305.1-NZ-CABGND010000002.1"
"ASV467","Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Enterococcaceae",NA,NA,"RS-GCF-014853615.1-NZ-JACZAP010000041.1"
"ASV468","Bacteria","Bacillota_I","Bacilli_A","Staphylococcales","Gemellaceae","Gemella",NA,"RS-GCF-000204355.1-NZ-GL883585.1"
"ASV514","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Coprobacillaceae","Thomasclavelia","Thomasclavelia ramosa","RS-GCF-015560315.1-NZ-JADMRP010000002.1"
"ASV519","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Coprobacillaceae","","","RS-GCF-002160725.1-NZ-NFLD01000076.1"
"ASV531","Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000","Clostridium_T",NA,"GB-GCA-016742415.1-JAEPEL010000544.1"
"ASV561","Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921",NA,NA,"RS-GCF-013293385.1-NZ-JAAKAA010000059.1"
"ASV573","Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921","Intestinibacter",NA,"GB-GCA-018376935.1-JAHAAJ010000118.1"
"ASV597","Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Anaerovoracaceae",NA,NA,"MJ006-1-barcode26-umi102566bins-ubs-4"
"ASV624","Bacteria","Bacillota_A_368345","Clostridia_258483","UBA1381","UBA1381","Hominilimicola","Hominilimicola sp001941225","MJ006-1-barcode43-umi205212bins-ubs-3"
"ASV652","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Butyricicoccaceae","Agathobaculum","Agathobaculum ammoniilyticum","MJ006-2-barcode58-umi242477bins-ubs-3"
"ASV666","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Limivicinus","Limivicinus sp002320035","GB-GCA-905205225.1-CAJLCQ010000084.1"
"ASV694","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter","Lawsonibacter sp000177015","MJ006-2-barcode69-umi156603bins-ubs-3"
"ASV696","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter","Lawsonibacter sp000177015","RS-GCF-016899775.1-NZ-JACJJE010000125.1"
"ASV697","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter",NA,"GB-GCA-900066645.1-FMFR01000008.1"
"ASV703","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter","Lawsonibacter asaccharolyticus","LC371917"
"ASV705","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter","","GB-GCA-900756345.1-CAAEJT010000082.1"
"ASV706","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Lawsonibacter","","RS-GCF-015547855.1-NZ-JADMVZ010000093.1"
"ASV709","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Intestinimonas","Intestinimonas butyriciproducens","KC311367"
"ASV712","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Intestinimonas","Intestinimonas massiliensis","MJ006-2-barcode65-umi224243bins-ubs-4"
"ASV720","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309",NA,NA,"MJ006-2-barcode65-umi124081bins-ubs-4"
"ASV721","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Dysosmobacter","Dysosmobacter welbionis","RS-GCF-000469425.1-NZ-KI271465.1"
"ASV722","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Dysosmobacter","Dysosmobacter welbionis","RS-GCF-016902445.1-NZ-JACSNX010000046.1"
"ASV723","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Dysosmobacter","Dysosmobacter welbionis","LC522513"
"ASV734","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Vescimonas",NA,"LC522510"
"ASV737","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Hominicoprocola","Hominicoprocola sp900317525","MJ006-2-barcode62-umi175727bins-ubs-3"
"ASV739","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309",NA,NA,"GB-GCA-905212915.1-CAJMGJ010000030.1"
"ASV746","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309",NA,NA,"MJ006-2-barcode63-umi134737bins-ubs-4"
"ASV749","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Faecousia","","MJ006-1-barcode34-umi155007bins-ubs-4"
"ASV757","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309","Faecousia","Faecousia sp000434635","MJ006-1-barcode34-umi121582bins-ubs-4"
"ASV769","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Oscillospiraceae_88309",NA,NA,"MJ006-1-barcode38-umi122084bins-ubs-4"
"ASV777","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Fimenecus","Fimenecus sp000432435","GB-GCA-018052775.1-JAGPMS010000005.1"
"ASV779","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae",NA,NA,"MJ006-2-barcode58-umi188181bins-ubs-3"
"ASV792","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E bromii_B","RS-GCF-900291485.1-NZ-OLKO01000008.1"
"ASV801","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Clostridium_A_51961",NA,"AJ305238"
"ASV805","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter timonensis","MJ006-1-barcode31-umi57171bins-ubs-6"
"ASV810","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Acutalibacter","","MJ006-1-barcode38-umi101890bins-ubs-4"
"ASV814","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Hydrogeniiclostridium","","MJ006-1-barcode26-umi151360bins-ubs-3"
"ASV815","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Hydrogeniiclostridium","Hydrogeniiclostridium mannosilyticum","MJ006-2-barcode57-umi34456bins-ubs-9"
"ASV827","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Anaeromassilibacillus","Anaeromassilibacillus sp001305115","MJ006-1-barcode38-umi163059bins-ubs-3"
"ASV828","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Anaeromassilibacillus","Anaeromassilibacillus sp001305115","MJ006-2-barcode52-umi34422bins-ubs-9"
"ASV834","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","UMGS1071","UMGS1071 sp900548305","MJ005-barcode41-umi54088bins-ubs-6"
"ASV842","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","Solibaculum","","GB-GCA-018364155.1-JAGZMM010000005.1"
"ASV845","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae","UBA5905","","MJ006-2-barcode65-umi108490bins-ubs-4"
"ASV857","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,"GB-GCA-014868765.1-WHEU01000011.1"
"ASV859","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,"MJ006-1-barcode39-umi142106bins-ubs-3"
"ASV863","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,"RS-GCF-001406755.1-NZ-CZBX01000028.1"
"ASV864","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,"GB-GCA-900066275.1-FMFG01000089.1"
"ASV866","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,"RS-GCF-902497365.1-NZ-LR699993.1"
"ASV867","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Gemmiger_A_73129","Gemmiger_A_73129 qucibialis","MJ006-1-barcode28-umi157746bins-ubs-3"
"ASV873","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Gemmiger_A_73129",NA,"RS-GCF-018784445.1-NZ-WQOH01000081.1"
"ASV888","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Ruthenibacterium","Ruthenibacterium lactatiformans","MJ006-1-barcode26-umi145558bins-ubs-3"
"ASV890","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Ruthenibacterium","","MJ006-2-barcode63-umi136525bins-ubs-4"
"ASV898","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Bittarella","Bittarella massiliensis","MJ006-1-barcode45-umi227093bins-ubs-3"
"ASV909","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Ruminiclostridium_E","Ruminiclostridium_E siraeum","GB-GCA-015555245.1-JADNKD010000034.1"
"ASV916","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Hominimerdicola","Hominimerdicola aceti","RS-GCF-003460985.1-NZ-QTWF01000009.1"
"ASV935","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Massiliimalia","Massiliimalia timonensis","MJ006-1-barcode35-umi45915bins-ubs-9"
"ASV946","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Merdimmobilis","","RS-GCF-016901815.1-NZ-JACSNR010000025.1"
"ASV955","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Merdimmobilis","Merdimmobilis hominis","MJ006-1-barcode38-umi137655bins-ubs-3"
"ASV961","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Anaerotruncus","Anaerotruncus massiliensis_A","MJ006-1-barcode48-umi143373bins-ubs-3"
"ASV965","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Anaerotruncus","Anaerotruncus colihominis","AJ315980"
"ASV980","Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Negativibacillus","Negativibacillus massiliensis","MJ006-2-barcode53-umi133722bins-ubs-4"
"ASV1131","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Hungatella_A_128155",NA,"HE603919"
"ASV1133","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Hungatella_A_128155",NA,"RS-GCF-902363795.1-NZ-CABJBJ010000122.1"
"ASV1135","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster","","MJ006-1-barcode43-umi124055bins-ubs-5"
"ASV1141","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster lavalensis","EF564277"
"ASV1145","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster aldenensis","MJ006-1-barcode25-umi49470bins-ubs-9"
"ASV1147","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster aldenensis","MJ006-2-barcode65-umi128273bins-ubs-4"
"ASV1158","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster",NA,"RS-GCF-900108895.1-NZ-FOJH01000156.1"
"ASV1159","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster",NA,"RS-GCF-000371585.1-NZ-KB851059.1"
"ASV1163","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster sp000431375","RS-GCF-003481765.1-NZ-QULR01000098.1"
"ASV1192","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Ventrisoma","Ventrisoma faecale","MJ006-2-barcode63-umi147819bins-ubs-3"
"ASV1195","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae",NA,NA,"MJ006-1-barcode40-umi81598bins-ubs-5"
"ASV1199","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Otoolea_134252",NA,"GB-GCA-900066735.1-FMFX01000027.1"
"ASV1212","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","","","MJ006-2-barcode60-umi189791bins-ubs-4"
"ASV1243","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781","Blautia_A_141781 caecimuris","KR364746"
"ASV1244","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781","Blautia_A_141781 caecimuris","MJ006-1-barcode41-umi228693bins-ubs-3"
"ASV1245","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781",NA,"MJ030-1-barcode49-umi81456bins-ubs-5"
"ASV1252","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781","Blautia_A_141781 obeum","RS-GCF-003464105.1-NZ-QSDS01000060.1"
"ASV1261","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781","Blautia_A_141781 faecis","RS-GCF-003480145.1-NZ-QUIO01000097.1"
"ASV1264","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781",NA,"RS-GCF-013302025.1-NZ-JAAIPK010000186.1"
"ASV1271","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781",NA,"RS-GCF-013304685.1-NZ-JAAITH010000167.1"
"ASV1282","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141781","Blautia_A_141781 hydrogenotrophica","MJ006-1-barcode31-umi69421bins-ubs-7"
"ASV1284","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141780",NA,"KX025138"
"ASV1286","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141780","Blautia_A_141780 ornithocaccae","GB-GCA-902363515.1-CABJAN010000009.1"
"ASV1288","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141780",NA,"GB-GCA-000508925.1-BAHT02000283.1"
"ASV1299","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae",NA,NA,"RS-GCF-016899975.1-NZ-JACJJN010000084.1"
"ASV1307","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Laedolimicola","","MJ006-2-barcode58-umi133299bins-ubs-4"
"ASV1314","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Merdimonas",NA,"KP966093"
"ASV1325","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Dorea_A","Dorea_A formicigenerans","RS-GCF-003474085.1-NZ-QRNS01000091.1"
"ASV1326","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Dorea_A","Dorea_A longicatena","RS-GCF-018784865.1-NZ-WQPA01000083.1"
"ASV1332","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Dorea_A","","MJ006-1-barcode42-umi135709bins-ubs-3"
"ASV1334","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B","Lachnoclostridium_B intestinigallinarum","GB-GCA-017850635.1-JAFILW010000070.1"
"ASV1338","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Bariatricus",NA,"RS-GCF-013301605.1-NZ-JAAIOQ010000084.1"
"ASV1343","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas intestinalis","RS-GCF-013304755.1-NZ-JAAITK010000014.1"
"ASV1344","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas intestinalis","MJ006-2-barcode52-umi148324bins-ubs-3"
"ASV1350","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae",NA,NA,"GB-GCA-000509105.1-BAIF02000133.1"
"ASV1356","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Schaedlerella",NA,"AB233029"
"ASV1359","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Ruminococcus_B","Ruminococcus_B gnavus","RS-GCF-015557345.1-NZ-JADNOC010000089.1"
"ASV1360","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Ruminococcus_B","Ruminococcus_B gnavus","RS-GCF-013303585.1-NZ-JAAIRN010000118.1"
"ASV1366","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Mediterraneibacter_A_155507","Mediterraneibacter_A_155507 faecis","RS-GCF-003461005.1-NZ-QTWG01000138.1"
"ASV1372","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Mediterraneibacter_A_155507",NA,"RS-GCF-002161355.1-NZ-NFHL01000016.1"
"ASV1375","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Mediterraneibacter_A_155507",NA,"MJ006-1-barcode33-umi150609bins-ubs-3"
"ASV1384","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae",NA,NA,"RS-GCF-003603645.1-NZ-QVHD01000007.1"
"ASV1389","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Faecalimonas",NA,"MJ005-barcode41-umi82693bins-ubs-3"
"ASV1397","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae",NA,NA,"GB-GCA-013303885.1-JAAISE010000123.1"
"ASV1404","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae",NA,NA,"GB-GCA-008680325.1-NALL01000016.1"
"ASV1415","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Roseburia_A_166204",NA,"RS-GCF-009759525.1-NZ-WGGT01000066.1"
"ASV1428","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Roseburia_C",NA,"MJ006-2-barcode73-umi180999bins-ubs-3"
"ASV1458","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor acetigignens","MJ006-1-barcode42-umi125821bins-ubs-3"
"ASV1460","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor acetigignens","MJ006-2-barcode61-umi157398bins-ubs-3"
"ASV1475","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","GB-GCA-000980425.1-LARJ01000055.1"
"ASV1476","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Eisenbergiella","Eisenbergiella porci","GB-GCA-000509145.1-BAIJ02000227.1"
"ASV1491","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Lachnospira",NA,"MJ006-2-barcode60-umi204079bins-ubs-3"
"ASV1544","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerobutyricum",NA,"RS-GCF-017776345.1-NZ-JAFIQO010000082.1"
"ASV1545","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerobutyricum",NA,"MJ006-2-barcode71-umi159310bins-ubs-3"
"ASV1546","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerobutyricum",NA,"AJ270490"
"ASV1559","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerostipes",NA,"GB-GCA-910574775.1-CAJTBX010000007.1"
